thread_count,lock_percentage,time
1,0,5858853
1,1,5734912
1,2,5759826
1,3,5559484
1,4,5548833
1,5,5884499
1,6,5673314
1,7,5522838
1,8,5571320
1,9,5528036
1,10,5602874
1,11,5599705
1,12,5796661
1,13,5704872
1,14,5720595
1,15,5648900
1,16,5732717
1,17,5443268
1,18,5653071
1,19,5533398
1,20,5538667
1,21,5456301
1,22,5718393
1,23,5443297
1,24,5480534
1,25,5473171
1,26,5710306
1,27,5545714
1,28,5494847
1,29,5479160
1,30,5487258
1,31,5461343
1,32,5634443
1,33,5578879
1,34,5755348
1,35,5778232
1,36,5724846
1,37,5706929
1,38,5686112
1,39,5801566
1,40,5619981
1,41,5659145
1,42,5471042
1,43,5683792
1,44,5411070
1,45,5538612
1,46,5635922
1,47,5739447
1,48,5575495
1,49,5549391
1,50,5769413
1,51,5475497
1,52,5571226
1,53,5608427
1,54,5526928
1,55,5667105
1,56,5598044
1,57,5602166
1,58,5610261
1,59,5495176
1,60,5528410
1,61,5683730
1,62,5534750
1,63,5424835
1,64,5583721
1,65,5549322
1,66,5728764
1,67,5538065
1,68,5608434
1,69,5554873
1,70,5558785
1,71,5676330
1,72,5686416
1,73,5521816
1,74,5593103
1,75,5462058
1,76,5610968
1,77,5562899
1,78,5493573
1,79,5607197
1,80,5598101
1,81,5544200
1,82,5551330
1,83,5569209
1,84,5661943
1,85,5700121
1,86,5578977
1,87,5601236
1,88,5703683
1,89,5401721
1,90,5530716
1,91,5370059
1,92,5519526
1,93,5654446
1,94,5425851
1,95,5610463
1,96,5552719
1,97,5383190
1,98,5589713
1,99,5604674
1,100,5512350
2,0,3303059
2,1,3329709
2,2,3367639
2,3,3415041
2,4,3304336
2,5,3359636
2,6,3260992
2,7,3400580
2,8,3313540
2,9,3275233
2,10,3316631
2,11,3314977
2,12,3349602
2,13,3369004
2,14,3290753
2,15,3385464
2,16,3356237
2,17,3352611
2,18,3376815
2,19,3350858
2,20,3430377
2,21,3375421
2,22,3366101
2,23,3501354
2,24,3431118
2,25,3469952
2,26,3347264
2,27,3458346
2,28,3442777
2,29,3327842
2,30,3394156
2,31,3400691
2,32,3420918
2,33,3543410
2,34,3500001
2,35,3556020
2,36,3726328
2,37,3518723
2,38,3664541
2,39,3675560
2,40,3650708
2,41,3683377
2,42,3779949
2,43,3635895
2,44,3745066
2,45,3805250
2,46,4023223
2,47,3878201
2,48,3819535
2,49,3849428
2,50,3908573
2,51,3995171
2,52,4156634
2,53,4108686
2,54,4250863
2,55,4181643
2,56,4139341
2,57,4252101
2,58,4429636
2,59,4506161
2,60,4301592
2,61,4517962
2,62,4669158
2,63,4470944
2,64,4855814
