running 808 tests
test mutex_1t_000p ... bench:   5,858,853 ns/iter (+/- 1,909,499)
test mutex_1t_001p ... bench:   5,734,912 ns/iter (+/- 1,854,137)
test mutex_1t_002p ... bench:   5,759,826 ns/iter (+/- 1,566,744)
test mutex_1t_003p ... bench:   5,559,484 ns/iter (+/- 1,616,866)
test mutex_1t_004p ... bench:   5,548,833 ns/iter (+/- 1,506,143)
test mutex_1t_005p ... bench:   5,884,499 ns/iter (+/- 1,488,153)
test mutex_1t_006p ... bench:   5,673,314 ns/iter (+/- 2,088,797)
test mutex_1t_007p ... bench:   5,522,838 ns/iter (+/- 1,490,654)
test mutex_1t_008p ... bench:   5,571,320 ns/iter (+/- 1,650,511)
test mutex_1t_009p ... bench:   5,528,036 ns/iter (+/- 1,508,861)
test mutex_1t_010p ... bench:   5,602,874 ns/iter (+/- 1,586,260)
test mutex_1t_011p ... bench:   5,599,705 ns/iter (+/- 1,432,502)
test mutex_1t_012p ... bench:   5,796,661 ns/iter (+/- 1,495,647)
test mutex_1t_013p ... bench:   5,704,872 ns/iter (+/- 1,768,995)
test mutex_1t_014p ... bench:   5,720,595 ns/iter (+/- 1,217,542)
test mutex_1t_015p ... bench:   5,648,900 ns/iter (+/- 1,670,981)
test mutex_1t_016p ... bench:   5,732,717 ns/iter (+/- 1,584,912)
test mutex_1t_017p ... bench:   5,443,268 ns/iter (+/- 1,389,334)
test mutex_1t_018p ... bench:   5,653,071 ns/iter (+/- 1,483,837)
test mutex_1t_019p ... bench:   5,533,398 ns/iter (+/- 1,525,181)
test mutex_1t_020p ... bench:   5,538,667 ns/iter (+/- 1,427,923)
test mutex_1t_021p ... bench:   5,456,301 ns/iter (+/- 1,211,197)
test mutex_1t_022p ... bench:   5,718,393 ns/iter (+/- 1,642,102)
test mutex_1t_023p ... bench:   5,443,297 ns/iter (+/- 1,895,122)
test mutex_1t_024p ... bench:   5,480,534 ns/iter (+/- 1,535,018)
test mutex_1t_025p ... bench:   5,473,171 ns/iter (+/- 1,590,181)
test mutex_1t_026p ... bench:   5,710,306 ns/iter (+/- 1,672,823)
test mutex_1t_027p ... bench:   5,545,714 ns/iter (+/- 1,681,486)
test mutex_1t_028p ... bench:   5,494,847 ns/iter (+/- 1,376,969)
test mutex_1t_029p ... bench:   5,479,160 ns/iter (+/- 1,614,558)
test mutex_1t_030p ... bench:   5,487,258 ns/iter (+/- 1,449,340)
test mutex_1t_031p ... bench:   5,461,343 ns/iter (+/- 1,945,934)
test mutex_1t_032p ... bench:   5,634,443 ns/iter (+/- 1,678,588)
test mutex_1t_033p ... bench:   5,578,879 ns/iter (+/- 1,597,457)
test mutex_1t_034p ... bench:   5,755,348 ns/iter (+/- 1,766,170)
test mutex_1t_035p ... bench:   5,778,232 ns/iter (+/- 1,629,427)
test mutex_1t_036p ... bench:   5,724,846 ns/iter (+/- 1,646,951)
test mutex_1t_037p ... bench:   5,706,929 ns/iter (+/- 1,873,503)
test mutex_1t_038p ... bench:   5,686,112 ns/iter (+/- 1,557,547)
test mutex_1t_039p ... bench:   5,801,566 ns/iter (+/- 1,660,623)
test mutex_1t_040p ... bench:   5,619,981 ns/iter (+/- 1,042,986)
test mutex_1t_041p ... bench:   5,659,145 ns/iter (+/- 1,731,397)
test mutex_1t_042p ... bench:   5,471,042 ns/iter (+/- 1,721,914)
test mutex_1t_043p ... bench:   5,683,792 ns/iter (+/- 1,460,618)
test mutex_1t_044p ... bench:   5,411,070 ns/iter (+/- 1,802,411)
test mutex_1t_045p ... bench:   5,538,612 ns/iter (+/- 1,424,896)
test mutex_1t_046p ... bench:   5,635,922 ns/iter (+/- 1,663,952)
test mutex_1t_047p ... bench:   5,739,447 ns/iter (+/- 1,297,114)
test mutex_1t_048p ... bench:   5,575,495 ns/iter (+/- 1,474,256)
test mutex_1t_049p ... bench:   5,549,391 ns/iter (+/- 1,554,719)
test mutex_1t_050p ... bench:   5,769,413 ns/iter (+/- 1,807,651)
test mutex_1t_051p ... bench:   5,475,497 ns/iter (+/- 1,293,998)
test mutex_1t_052p ... bench:   5,571,226 ns/iter (+/- 1,505,007)
test mutex_1t_053p ... bench:   5,608,427 ns/iter (+/- 1,435,770)
test mutex_1t_054p ... bench:   5,526,928 ns/iter (+/- 1,550,299)
test mutex_1t_055p ... bench:   5,667,105 ns/iter (+/- 1,562,966)
test mutex_1t_056p ... bench:   5,598,044 ns/iter (+/- 1,658,374)
test mutex_1t_057p ... bench:   5,602,166 ns/iter (+/- 1,720,697)
test mutex_1t_058p ... bench:   5,610,261 ns/iter (+/- 1,478,654)
test mutex_1t_059p ... bench:   5,495,176 ns/iter (+/- 1,606,289)
test mutex_1t_060p ... bench:   5,528,410 ns/iter (+/- 1,672,849)
test mutex_1t_061p ... bench:   5,683,730 ns/iter (+/- 1,698,541)
test mutex_1t_062p ... bench:   5,534,750 ns/iter (+/- 1,488,433)
test mutex_1t_063p ... bench:   5,424,835 ns/iter (+/- 1,380,109)
test mutex_1t_064p ... bench:   5,583,721 ns/iter (+/- 1,482,460)
test mutex_1t_065p ... bench:   5,549,322 ns/iter (+/- 1,578,487)
test mutex_1t_066p ... bench:   5,728,764 ns/iter (+/- 1,841,681)
test mutex_1t_067p ... bench:   5,538,065 ns/iter (+/- 1,406,037)
test mutex_1t_068p ... bench:   5,608,434 ns/iter (+/- 1,775,475)
test mutex_1t_069p ... bench:   5,554,873 ns/iter (+/- 1,623,831)
test mutex_1t_070p ... bench:   5,558,785 ns/iter (+/- 1,296,980)
test mutex_1t_071p ... bench:   5,676,330 ns/iter (+/- 1,569,392)
test mutex_1t_072p ... bench:   5,686,416 ns/iter (+/- 1,498,873)
test mutex_1t_073p ... bench:   5,521,816 ns/iter (+/- 1,497,889)
test mutex_1t_074p ... bench:   5,593,103 ns/iter (+/- 1,382,280)
test mutex_1t_075p ... bench:   5,462,058 ns/iter (+/- 1,349,087)
test mutex_1t_076p ... bench:   5,610,968 ns/iter (+/- 1,884,886)
test mutex_1t_077p ... bench:   5,562,899 ns/iter (+/- 1,258,237)
test mutex_1t_078p ... bench:   5,493,573 ns/iter (+/- 1,739,196)
test mutex_1t_079p ... bench:   5,607,197 ns/iter (+/- 1,743,597)
test mutex_1t_080p ... bench:   5,598,101 ns/iter (+/- 1,378,819)
test mutex_1t_081p ... bench:   5,544,200 ns/iter (+/- 1,760,651)
test mutex_1t_082p ... bench:   5,551,330 ns/iter (+/- 1,346,585)
test mutex_1t_083p ... bench:   5,569,209 ns/iter (+/- 1,764,057)
