running 808 tests
test mutex_1t_000p ... bench:   3,380,448 ns/iter (+/- 950,256)
test mutex_1t_001p ... bench:   3,615,778 ns/iter (+/- 1,366,542)
test mutex_1t_002p ... bench:   4,078,526 ns/iter (+/- 2,859,065)
test mutex_1t_003p ... bench:   3,377,626 ns/iter (+/- 315,290)
test mutex_1t_004p ... bench:   3,544,709 ns/iter (+/- 2,442,595)
test mutex_1t_005p ... bench:   3,331,366 ns/iter (+/- 409,970)
test mutex_1t_006p ... bench:   3,638,020 ns/iter (+/- 2,972,978)
test mutex_1t_007p ... bench:   3,465,846 ns/iter (+/- 659,130)
test mutex_1t_008p ... bench:   3,512,294 ns/iter (+/- 1,432,893)
test mutex_1t_009p ... bench:   3,508,999 ns/iter (+/- 2,775,738)
test mutex_1t_010p ... bench:   3,893,928 ns/iter (+/- 2,324,814)
test mutex_1t_011p ... bench:   3,487,651 ns/iter (+/- 921,255)
test mutex_1t_012p ... bench:   3,424,869 ns/iter (+/- 1,580,897)
test mutex_1t_013p ... bench:   3,446,469 ns/iter (+/- 1,281,833)
test mutex_1t_014p ... bench:   3,318,240 ns/iter (+/- 2,457,938)
test mutex_1t_015p ... bench:   3,480,743 ns/iter (+/- 1,629,489)
test mutex_1t_016p ... bench:   3,397,308 ns/iter (+/- 1,069,904)
test mutex_1t_017p ... bench:   3,389,788 ns/iter (+/- 1,918,294)
test mutex_1t_018p ... bench:   3,478,223 ns/iter (+/- 1,787,571)
test mutex_1t_019p ... bench:   3,532,041 ns/iter (+/- 2,011,379)
test mutex_1t_020p ... bench:   3,456,530 ns/iter (+/- 1,378,653)
test mutex_1t_021p ... bench:   3,378,051 ns/iter (+/- 510,101)
test mutex_1t_022p ... bench:   3,526,533 ns/iter (+/- 1,853,037)
test mutex_1t_023p ... bench:   3,546,118 ns/iter (+/- 1,788,347)
test mutex_1t_024p ... bench:   3,450,640 ns/iter (+/- 1,063,982)
test mutex_1t_025p ... bench:   3,462,295 ns/iter (+/- 1,040,595)
test mutex_1t_026p ... bench:   3,435,499 ns/iter (+/- 2,862,482)
test mutex_1t_027p ... bench:   3,500,138 ns/iter (+/- 1,768,085)
test mutex_1t_028p ... bench:   3,597,985 ns/iter (+/- 2,595,691)
test mutex_1t_029p ... bench:   3,488,427 ns/iter (+/- 1,288,394)
test mutex_1t_030p ... bench:   3,511,050 ns/iter (+/- 1,339,277)
test mutex_1t_031p ... bench:   3,402,272 ns/iter (+/- 1,122,160)
test mutex_1t_032p ... bench:   3,383,166 ns/iter (+/- 1,246,229)
test mutex_1t_033p ... bench:   3,464,764 ns/iter (+/- 2,011,489)
test mutex_1t_034p ... bench:   3,490,383 ns/iter (+/- 721,650)
test mutex_1t_035p ... bench:   3,509,294 ns/iter (+/- 2,250,616)
test mutex_1t_036p ... bench:   3,467,156 ns/iter (+/- 1,158,206)
test mutex_1t_037p ... bench:   3,525,350 ns/iter (+/- 1,671,932)
test mutex_1t_038p ... bench:   3,394,105 ns/iter (+/- 1,770,297)
test mutex_1t_039p ... bench:   3,578,663 ns/iter (+/- 2,583,923)
test mutex_1t_040p ... bench:   3,360,877 ns/iter (+/- 685,364)
test mutex_1t_041p ... bench:   3,560,153 ns/iter (+/- 2,327,592)
test mutex_1t_042p ... bench:   3,429,235 ns/iter (+/- 428,187)
test mutex_1t_043p ... bench:   3,603,742 ns/iter (+/- 1,828,497)
test mutex_1t_044p ... bench:   3,490,563 ns/iter (+/- 1,592,613)
test mutex_1t_045p ... bench:   3,500,825 ns/iter (+/- 3,188,198)
test mutex_1t_046p ... bench:   3,783,729 ns/iter (+/- 2,447,049)
test mutex_1t_047p ... bench:   3,577,560 ns/iter (+/- 1,951,055)
test mutex_1t_048p ... bench:   3,600,140 ns/iter (+/- 2,275,400)
test mutex_1t_049p ... bench:   3,511,960 ns/iter (+/- 816,197)
test mutex_1t_050p ... bench:   3,822,282 ns/iter (+/- 1,593,916)
test mutex_1t_051p ... bench:   3,564,307 ns/iter (+/- 1,610,249)
test mutex_1t_052p ... bench:   3,519,113 ns/iter (+/- 1,268,572)
test mutex_1t_053p ... bench:   3,483,812 ns/iter (+/- 1,678,868)
test mutex_1t_054p ... bench:   3,552,795 ns/iter (+/- 1,876,042)
test mutex_1t_055p ... bench:   3,495,918 ns/iter (+/- 949,919)
test mutex_1t_056p ... bench:   3,599,763 ns/iter (+/- 2,045,841)
